题目来源：牛客网（近两年面试经验帖，仅供参考）,Unnamed: 1,Unnamed: 2
分类,问题,公司
1. JavaScript 基础,对闭包有什么了解,百度
,一个var变量提升的循环代码输出，如何修改？用let或者用立即执行函数,百度
,this指向代码题，说输出,百度
,原型、原型链,百度
,原型的代码题，说输出,百度
,判断数组的方法,百度
,js类型,百度
,null和undefined的区别,百度
,typeof null是什么，为什么,百度
,箭头函数和普通函数的区别,百度
,var let const之间有什么区别,百度
,promise的状态有哪些，有什么作用，为什么要有promise,百度
,async函数中如何捕获错误,百度
,基本数据类型,百度
,怎么判断数据类型,百度
,怎么判断是不是数组、是不是对象,百度
,Symbol是啥,百度
,循环有什么方法,百度
,map和forEach的区别,百度
,map的参数,百度
,this指向,百度
,原型链,百度
,函数的原型,百度
,对象的原型,百度
,ES6的特性有哪些？,拼多多
,Promise的使用方法是什么？,拼多多
,用JS实现React简易的弹窗组件，需要考虑蒙层。,拼多多
,async和defer的区别是什么？async一般会用在哪些业务场景上？,拼多多
,实现一个饼图的工具函数，传入浮点数数组，输出每个数字占饼图的百分比（整数），要求所有数百分之一百并且要变化的值应该是四舍五入方差最大的值。,拼多多
,axios设置多个拦截器，执行顺序（请求与响应不同）,美团
,js数据类型、数据类型的判断、存储位置,美团
,代码输出：经典var let setTimeout输出的那个,美团
,事件循环输出题,美团
,手写题：数组扁平化（要求使用reduce方法）,美团
,原型链：为什么要有原型链，它解决了什么问题,美团
,promise状态转换（简单）,美团
,JS单线程；事件循环；微任务有哪些；promise有哪些状态,美团
,数组去重（map方法和filter方法）；数组扁平化,美团
,简单的判断apply和bind输出什么,美团
,手撕promise.all,美团
,按需加载如何实现,美团
,假如构建出来的产物是常规的commonjs，怎么实现按需加载,美团
,手撕场景题：给一个列表，点击其中一项，输出点击的列表内容,美团
,事件流；想要在捕获阶段捕获怎么设置,美团
,闭包是什么？有什么缺点？,腾讯
,JS 数据类型有哪些？,腾讯
,如何判断 function？,腾讯
,实现 JSON.stringify（手撕）,腾讯
,v-if 和 v-for 的区别？,腾讯
,v-if 和 v-for 的实际实现？,腾讯
,Vue 2 和 Vue 3 的区别？,腾讯
,Pinia 的原理？,腾讯
,Vue 和 React 的区别？,腾讯
,闭包是什么以及缺点,腾讯
,闭包的实际应用场景（数据隐藏、函数柯里化、缓存、防抖节流）,字节
